Count,Zipcode,Type,Owner Occ?,Purchase Down %,Purchase Amt,Amount Mortgaged,Mtg Tx Pd,Mansion Tax Pd,New Sales Tax Amount,Population,Median Age,Household Income,Median Gross Rent
1,11201,SFR,0,44.0,6125000,3400000.0,66300.0,61250.0,55124.99999999999,69755.0,35.1,163310.0,3110.0
1,11201,CND,0,74.0,1750000,453382.0,8160.875999999999,17500.0,15749.999999999998,69755.0,35.1,163310.0,3110.0
1,11201,CND,0,50.0,1585000,800000.0,15600.0,15850.0,14264.999999999998,69755.0,35.1,163310.0,3110.0
1,11201,CND,0,28.0,1250000,900000.0,17550.0,12500.0,11250.0,69755.0,35.1,163310.0,3110.0
1,11217,CND,0,20.0,999000,799200.0,15584.4,0.0,13986.0,43045.0,35.8,152735.0,2651.0
1,11217,CND,0,20.0,740000,592000.0,11544.0,0.0,10360.0,43045.0,35.8,152735.0,2651.0
1,11217,CND,0,20.0,1240000,992000.0,19344.0,12400.0,11160.0,43045.0,35.8,152735.0,2651.0
1,11231,CND,0,35.0,1410000,910000.0,17745.0,14100.0,12689.999999999998,38829.0,37.7,130396.0,2309.0
1,11201,CND,0,50.0,715000,357500.0,6434.999999999999,0.0,10010.0,69755.0,35.1,163310.0,3110.0
1,11201,CND,0,29.0,1025000,725000.0,14137.5,10250.0,9225.0,69755.0,35.1,163310.0,3110.0
1,11201,CND,0,20.0,999800,799040.0,15581.28,0.0,13997.2,69755.0,35.1,163310.0,3110.0
1,11231,CND,0,20.0,830000,664000.0,12948.0,0.0,11620.0,38829.0,37.7,130396.0,2309.0
1,11217,CND,0,20.0,1995000,1596000.0,31122.0,19950.0,17955.0,43045.0,35.8,152735.0,2651.0
1,11231,CND,0,55.0,1275000,575000.0,11212.5,12750.0,11475.0,38829.0,37.7,130396.0,2309.0
1,11231,CND,0,20.0,850000,680000.0,13260.0,0.0,11900.0,38829.0,37.7,130396.0,2309.0
1,11231,CND,0,100.0,2275000,0.0,0.0,22750.0,20475.0,38829.0,37.7,130396.0,2309.0
1,11231,CND,0,100.0,1268000,0.0,0.0,12680.0,11412.0,38829.0,37.7,130396.0,2309.0
1,11231,CND,0,30.0,2310000,1610000.0,31395.0,23100.0,20790.0,38829.0,37.7,130396.0,2309.0
1,11215,CND,0,100.0,770000,0.0,0.0,0.0,10780.0,72014.0,37.2,173899.0,2673.0
1,11231,CND,0,35.0,1825000,1195000.0,23302.5,18250.0,16425.0,38829.0,37.7,130396.0,2309.0
1,11231,CND,0,20.0,1115000,892000.0,17394.0,11150.0,10035.0,38829.0,37.7,130396.0,2309.0
1,11231,CND,0,90.0,1499000,151363.0,2724.5339999999997,14990.0,13490.999999999998,38829.0,37.7,130396.0,2309.0
1,11231,CND,0,20.0,1760000,1408000.0,27456.0,17600.0,15839.999999999998,38829.0,37.7,130396.0,2309.0
1,11231,CND,0,25.0,1225000,918750.0,17915.625,12250.0,11025.0,38829.0,37.7,130396.0,2309.0
1,11231,CND,0,77.0,995000,230748.0,4153.464,0.0,13930.0,38829.0,37.7,130396.0,2309.0
1,11231,CND,0,50.0,1375000,687500.0,13406.25,13750.0,12374.999999999998,38829.0,37.7,130396.0,2309.0
1,11231,CND,0,63.0,1351000,501000.0,9769.5,13510.0,12158.999999999998,38829.0,37.7,130396.0,2309.0
1,11231,CND,0,50.0,835000,417500.0,7514.999999999999,0.0,11690.0,38829.0,37.7,130396.0,2309.0
1,11231,SFR,0,100.0,2550000,2167500.0,42266.25,25500.0,22950.0,38829.0,37.7,130396.0,2309.0
1,11231,SFR,0,20.0,2600000,2080000.0,40560.0,26000.0,23400.0,38829.0,37.7,130396.0,2309.0
1,11215,CND,0,21.0,1265000,1000000.0,19500.0,12650.0,11385.0,72014.0,37.2,173899.0,2673.0
1,11215,CND,0,20.0,925000,740000.0,14430.0,0.0,12950.0,72014.0,37.2,173899.0,2673.0
1,11215,CND,0,10.0,585000,526500.0,10266.75,0.0,8190.0,72014.0,37.2,173899.0,2673.0
1,11232,CND,0,25.0,530000,397000.0,7145.999999999999,0.0,7420.0,28137.0,35.5,79599.0,1865.0
1,11232,CND,0,10.0,505000,454500.0,8180.999999999999,0.0,7070.0,28137.0,35.5,79599.0,1865.0
1,11232,CND,0,10.0,699000,629100.0,12267.45,0.0,9786.0,28137.0,35.5,79599.0,1865.0
1,11232,CND,0,35.0,840000,550000.0,10725.0,0.0,11760.0,28137.0,35.5,79599.0,1865.0
1,11232,CND,0,100.0,550000,0.0,0.0,0.0,7700.0,28137.0,35.5,79599.0,1865.0
1,11232,CND,0,20.0,1310000,1048000.0,20436.0,13100.0,11790.0,28137.0,35.5,79599.0,1865.0
1,11232,CND,0,100.0,575000,0.0,0.0,0.0,8050.0,28137.0,35.5,79599.0,1865.0
1,11232,CND,0,100.0,665000,0.0,0.0,0.0,9310.0,28137.0,35.5,79599.0,1865.0
1,11232,SFR,0,70.0,1425000,425000.0,7649.999999999999,14250.0,12824.999999999998,28137.0,35.5,79599.0,1865.0
1,11232,CND,0,10.0,650000,585000.0,11407.5,0.0,9100.0,28137.0,35.5,79599.0,1865.0
1,11232,SFR,0,20.0,2250000,1800000.0,35100.0,22500.0,20250.0,28137.0,35.5,79599.0,1865.0
1,11232,CND,0,40.0,940000,564000.0,10998.0,0.0,13160.0,28137.0,35.5,79599.0,1865.0
1,11232,SFR,0,100.0,1080000,0.0,0.0,10800.0,9720.0,28137.0,35.5,79599.0,1865.0
1,11232,CND,0,20.0,465000,186000.0,3347.9999999999995,0.0,6510.0,28137.0,35.5,79599.0,1865.0
1,11232,CND,0,22.0,613000,480000.0,8640.0,0.0,8582.0,28137.0,35.5,79599.0,1865.0
1,11220,SFR,0,40.0,950000,570000.0,11115.0,0.0,13300.0,93008.0,36.0,62804.0,1641.0
1,11220,CND,0,32.0,710000,480000.0,8640.0,0.0,9940.0,93008.0,36.0,62804.0,1641.0
1,11220,CND,0,31.0,560000,388000.0,6983.999999999999,0.0,7840.0,93008.0,36.0,62804.0,1641.0
1,11220,CND,0,100.0,420000,0.0,0.0,0.0,5880.0,93008.0,36.0,62804.0,1641.0
1,11215,SFR,0,10.0,1695000,1356000.0,26442.0,16950.0,15254.999999999998,72014.0,37.2,173899.0,2673.0
1,11215,CND,0,22.0,900000,700000.0,13650.0,0.0,12600.0,72014.0,37.2,173899.0,2673.0
1,11215,CND,0,88.0,1152100,143228.0,2578.104,11521.0,10368.9,72014.0,37.2,173899.0,2673.0
1,11215,CND,0,23.0,930000,716000.0,13962.0,0.0,13020.0,72014.0,37.2,173899.0,2673.0
1,11215,CND,0,100.0,1025000,0.0,0.0,10250.0,9225.0,72014.0,37.2,173899.0,2673.0
1,11215,CND,0,100.0,1300000,0.0,0.0,13000.0,11700.0,72014.0,37.2,173899.0,2673.0
1,11215,CND,0,44.0,910000,506000.0,9867.0,0.0,12740.0,72014.0,37.2,173899.0,2673.0
1,11215,CND,0,85.0,1160625,176460.0,3176.2799999999997,11606.25,10445.625,72014.0,37.2,173899.0,2673.0
1,11215,CND,0,35.0,1300000,850000.0,16575.0,13000.0,11700.0,72014.0,37.2,173899.0,2673.0
1,11218,CND,0,33.0,1050000,700000.0,13650.0,10500.0,9450.0,73318.0,37.3,87759.0,1879.0
1,11218,CND,0,91.0,3740625,328155.0,5906.79,37406.25,33665.625,73318.0,37.3,87759.0,1879.0
1,11215,CND,0,20.0,615000,492000.0,8856.0,0.0,8610.0,72014.0,37.2,173899.0,2673.0
1,11215,CND,0,20.0,630000,504000.0,9828.0,0.0,8820.0,72014.0,37.2,173899.0,2673.0
1,11215,CND,0,35.0,925000,605000.0,11797.5,0.0,12950.0,72014.0,37.2,173899.0,2673.0
