Type,Address,ZIP,Purchase Amt,Purchase Down %,1st Amount,2nd Amount,CLTV %,Purchase Date,Purchase Type,City,Owner Occ?,Listed for Sale?
CND,25 MURRAY ST 2G,10007,1995000,61,783524,,31,1/12/2018,Market,NEW YORK,0,0
CND,25 MURRAY ST 3B,10007,2150000,100,2023090,,67,11/22/2016,Market,NEW YORK,1,0
CND,25 MURRAY ST 3H,10007,1950000,100,,,0,3/20/2020,Market,NEW YORK,1,0
CND,25 MURRAY ST 3F1,10007,2000000,100,,,0,6/1/2018,Market,NEW YORK,1,0
CND,25 MURRAY ST 4B,10007,1750000,43,1000000,,42,2/4/2021,Market,NEW YORK,1,0
CND,25 MURRAY ST 4K,10007,1795000,100,,,0,11/12/2021,Market,NEW YORK,1,0
CND,25 MURRAY ST 3K,10007,1475000,30,1032500,,60,11/27/2020,Market,NEW YORK,1,0
CND,25 MURRAY ST 4F,10007,2140000,20,1712000,,63,9/6/2016,Market,NEW YORK,1,0
CND,25 MURRAY ST 6J,10007,2400000,64,862000,,32,4/18/2023,Market,NEW YORK,0,0
CND,25 MURRAY ST 6G,10007,1980000,100,490239,,19,3/2/2021,Market,NEW YORK,1,0
CND,25 MURRAY ST 7B,10007,2300000,100,,,0,6/16/2021,Market,NEW YORK,1,0
CND,25 MURRAY ST 8B,10007,2510000,20,2000000,,78,8/23/2022,Market,NEW YORK,1,0
CND,25 MURRAY ST 6A,10007,2230000,60,600000,284000,34,6/3/2016,Market,NEW YORK,1,0
CND,25 MURRAY ST 6F,10007,1825000,20,1460000,,68,11/24/2021,Market,NEW YORK,1,0
CND,25 MURRAY ST 7D,10007,2600000,100,2040000,,77,3/4/2016,Market,NEW YORK,0,0
CND,18 WARREN ST UNIT2,10007,1826550,20,1461240,,69,5/3/2021,Market,NEW YORK,1,0
CND,80 CHAMBERS ST 8F,10007,4450000,100,,,0,3/26/2021,Market,NEW YORK,1,0
CND,80 CHAMBERS ST 10A,10007,3670000,76,895169,,22,12/22/2015,Market,NEW YORK,1,0
CND,80 CHAMBERS ST 12D,10007,2075000,30,1452500,,57,12/4/2019,Market,NEW YORK,0,0
CND,80 CHAMBERS ST 13A,10007,2975000,25,2230000,,69,7/19/2021,Market,NEW YORK,1,0
CND,80 CHAMBERS ST 13B,10007,1255000,69,385872,,24,7/8/2016,Market,NEW YORK,0,0
CND,80 CHAMBERS ST 13D,10007,2200000,100,,,0,4/1/2021,Market,NEW YORK,1,0
CND,80 CHAMBERS ST 14E,10007,1600000,100,,,0,8/2/2023,Market,NEW YORK,0,0
CND,80 CHAMBERS ST 15B,10007,1070000,100,,,0,9/7/2021,Market,NEW YORK,1,0
CND,80 CHAMBERS ST 15D,10007,2175000,20,1740000,,73,3/4/2022,Market,NEW YORK,1,0
CND,80 CHAMBERS ST 15E,10007,1495000,100,,,0,11/29/2021,Market,NEW YORK,1,0
CND,270 BROADWAY 17B,10007,3750000,25,312500,,7,7/11/2014,Market,NEW YORK,1,0
CND,270 BROADWAY 18A,10007,4100000,35,2665000,,58,9/29/2021,Market,NEW YORK,1,0
CND,270 BROADWAY 18D,10007,5365000,35,3487250,,62,5/16/2022,Market,NEW YORK,1,0
CND,270 BROADWAY 20C,10007,2800000,30,1960000,,55,8/4/2014,Market,NEW YORK,1,0
CND,270 BROADWAY 23B,10007,3500000,100,,,0,5/14/2015,Market,NEW YORK,0,0
CND,8 WARREN ST 4E,10007,3280000,100,,,0,7/8/2016,Market,NEW YORK,1,0
CND,8 WARREN ST 2E,10007,2999000,100,,,0,10/25/2023,Market,NEW YORK,0,0
CND,22 WARREN ST 4,10007,2850000,20,2280000,,74,12/22/2021,Market,NEW YORK,1,0
CND,22 WARREN ST 5,10007,3000000,20,2400000,,80,7/12/2022,Market,NEW YORK,1,0
CND,88 CHAMBERS ST 201,10007,2550000,22,2000000,,74,10/13/2022,Market,NEW YORK,1,0
CND,16 WARREN ST 1,10007,2170000,100,,,0,9/6/2016,Market,NEW YORK,1,0
CND,92 CHAMBERS ST 3,10007,2100000,20,1680000,,76,3/4/2022,Market,NEW YORK,1,0
CND,92 CHAMBERS ST 2,10007,1785000,100,1338750,161250,38,12/27/2012,Market,NEW YORK,1,0
CND,12 WARREN ST THS,10007,3650000,100,,,0,10/19/2021,Market,NEW YORK,1,0
CND,16 WARREN ST 4,10007,3025000,100,1575000,,42,4/13/2021,Market,NEW YORK,1,0
CND,92 CHAMBERS ST 4,10007,2025000,30,1417500,,59,3/22/2021,Market,NEW YORK,1,0
CND,12 WARREN ST 3,10007,5875000,100,,,0,6/17/2022,Market,NEW YORK,1,0
CND,12 WARREN ST 6,10007,5150000,67,1700000,,30,5/31/2023,Market,NEW YORK,0,0
CND,12 WARREN ST PHA,10007,4945000,100,3461500,,76,8/15/2022,Market,NEW YORK,1,0
CND,38 WARREN ST 6A,10007,2910000,20,2037000,,79,3/4/2022,Market,NEW YORK,1,1
