Address,Count,Zipcode,Type,Owner Occ?,Purchase Amt,Amount Mortgaged,% Borrowed,Mtg Tx Pd,Mansion Tax Pd,New Sales Tax Amount,Population,Median Age,Household Income,Per Capita Income,Median Gross Rent,Poverty Count,Poverty Rate
67 HUDSON ST 4D,1,10013,CND,0.0,4076500.0,2999625.0,73.58334355451981,58492.6875,40765.0,36688.5,29453.0,40.2,150675.0,157378.0,2113.0,2762.0,9.377652531151323
349 GREENWICH ST 3,1,10013,CND,0.0,4600000.0,3450000.0,75.0,67275.0,46000.0,41400.0,29453.0,40.2,150675.0,157378.0,2113.0,2762.0,9.377652531151323
62 BEACH ST 4G,1,10013,CND,0.0,2050000.0,0.0,0.0,0.0,20500.0,18450.0,29453.0,40.2,150675.0,157378.0,2113.0,2762.0,9.377652531151323
53 N MOORE ST 3B,1,10013,CND,0.0,2525000.0,0.0,0.0,0.0,25250.0,22725.0,29453.0,40.2,150675.0,157378.0,2113.0,2762.0,9.377652531151323
53 N MOORE ST 4A,1,10013,CND,0.0,3492000.0,0.0,0.0,0.0,34920.0,31428.0,29453.0,40.2,150675.0,157378.0,2113.0,2762.0,9.377652531151323
53 N MOORE ST 5E,1,10013,CND,0.0,3560000.0,0.0,0.0,0.0,35600.0,32040.0,29453.0,40.2,150675.0,157378.0,2113.0,2762.0,9.377652531151323
59 N MOORE ST 1E,1,10013,CND,0.0,3495000.0,0.0,0.0,0.0,34950.0,31455.0,29453.0,40.2,150675.0,157378.0,2113.0,2762.0,9.377652531151323
48 BEACH ST PH3,1,10013,CND,0.0,5910000.0,2000000.0,33.840947546531304,39000.0,59100.0,53189.99999999999,29453.0,40.2,150675.0,157378.0,2113.0,2762.0,9.377652531151323
158 FRANKLIN ST 3,1,10013,CND,0.0,2750000.0,2200000.0,80.0,42900.0,27500.0,24750.0,29453.0,40.2,150675.0,157378.0,2113.0,2762.0,9.377652531151323
27 N MOORE ST 6A,1,10013,CND,0.0,3850000.0,0.0,0.0,0.0,38500.0,34650.0,29453.0,40.2,150675.0,157378.0,2113.0,2762.0,9.377652531151323
27 N MOORE ST 5A,1,10013,CND,0.0,4200000.0,3000000.0,71.42857142857143,58500.0,42000.0,37800.0,29453.0,40.2,150675.0,157378.0,2113.0,2762.0,9.377652531151323
25 N MOORE ST 10C,1,10013,CND,0.0,6900000.0,0.0,0.0,0.0,69000.0,62099.99999999999,29453.0,40.2,150675.0,157378.0,2113.0,2762.0,9.377652531151323
25 N MOORE ST 11C,1,10013,CND,0.0,6900000.0,0.0,0.0,0.0,69000.0,62099.99999999999,29453.0,40.2,150675.0,157378.0,2113.0,2762.0,9.377652531151323
124 HUDSON ST 5C,1,10013,CND,0.0,6200000.0,0.0,0.0,0.0,62000.0,55799.99999999999,29453.0,40.2,150675.0,157378.0,2113.0,2762.0,9.377652531151323
124 HUDSON ST 7C,1,10013,CND,0.0,6500000.0,0.0,0.0,0.0,65000.0,58499.99999999999,29453.0,40.2,150675.0,157378.0,2113.0,2762.0,9.377652531151323
395 BROADWAY 6E,1,10013,CND,0.0,2020000.0,0.0,0.0,0.0,20200.0,18180.0,29453.0,40.2,150675.0,157378.0,2113.0,2762.0,9.377652531151323
395 BROADWAY 12C,1,10013,CND,0.0,1700000.0,1360000.0,80.0,26520.0,17000.0,15299.999999999998,29453.0,40.2,150675.0,157378.0,2113.0,2762.0,9.377652531151323
395 BROADWAY 13E,1,10013,CND,0.0,1930000.0,0.0,0.0,0.0,19300.0,17370.0,29453.0,40.2,150675.0,157378.0,2113.0,2762.0,9.377652531151323
51 WALKER ST 4A,1,10013,CND,0.0,2975000.0,0.0,0.0,0.0,29750.0,26775.0,29453.0,40.2,150675.0,157378.0,2113.0,2762.0,9.377652531151323
60 WHITE ST PHW,1,10013,CND,0.0,5850000.0,4000000.0,68.37606837606837,78000.0,58500.0,52649.99999999999,29453.0,40.2,150675.0,157378.0,2113.0,2762.0,9.377652531151323
50 BAYARD ST 3J,1,10013,CND,0.0,999999.0,0.0,0.0,0.0,0.0,13999.986,29453.0,40.2,150675.0,157378.0,2113.0,2762.0,9.377652531151323
158 HESTER ST 5D,1,10013,CND,0.0,1630000.0,200000.0,12.269938650306749,3599.9999999999995,16300.0,14669.999999999998,29453.0,40.2,150675.0,157378.0,2113.0,2762.0,9.377652531151323
123 BAXTER ST 5A,1,10013,CND,0.0,1995000.0,0.0,0.0,0.0,19950.0,17955.0,29453.0,40.2,150675.0,157378.0,2113.0,2762.0,9.377652531151323
123 BAXTER ST TH,1,10013,CND,0.0,3250000.0,2762500.0,85.0,53868.75,32500.0,29250.0,29453.0,40.2,150675.0,157378.0,2113.0,2762.0,9.377652531151323
1 YORK ST 3E,1,10013,CND,0.0,3610000.0,2888000.0,80.0,56316.0,36100.0,32490.0,29453.0,40.2,150675.0,157378.0,2113.0,2762.0,9.377652531151323
1 YORK ST 4F,1,10013,CND,0.0,3210000.0,0.0,0.0,0.0,32100.0,28890.0,29453.0,40.2,150675.0,157378.0,2113.0,2762.0,9.377652531151323
1 YORK ST 9C,1,10013,CND,0.0,3300000.0,2640000.0,80.0,51480.0,33000.0,29700.0,29453.0,40.2,150675.0,157378.0,2113.0,2762.0,9.377652531151323
405 GREENWICH ST 3,1,10013,CND,0.0,2585000.0,2000000.0,77.36943907156673,39000.0,25850.0,23265.0,29453.0,40.2,150675.0,157378.0,2113.0,2762.0,9.377652531151323
7 HUBERT ST TH3H,1,10013,CND,0.0,8900000.0,4000000.0,44.9438202247191,78000.0,89000.0,80100.0,29453.0,40.2,150675.0,157378.0,2113.0,2762.0,9.377652531151323
7 HUBERT ST 5D,1,10013,CND,0.0,4250000.0,0.0,0.0,0.0,42500.0,38250.0,29453.0,40.2,150675.0,157378.0,2113.0,2762.0,9.377652531151323
7 HUBERT ST 8A,1,10013,CND,0.0,6800000.0,4000000.0,58.82352941176471,78000.0,68000.0,61199.99999999999,29453.0,40.2,150675.0,157378.0,2113.0,2762.0,9.377652531151323
415 GREENWICH ST 3G,1,10013,CND,0.0,4750000.0,4201.0,0.0884421052631578,75.618,47500.0,42750.0,29453.0,40.2,150675.0,157378.0,2113.0,2762.0,9.377652531151323
415 GREENWICH ST 3H,1,10013,CND,0.0,4550000.0,900000.0,19.78021978021978,17550.0,45500.0,40950.0,29453.0,40.2,150675.0,157378.0,2113.0,2762.0,9.377652531151323
415 GREENWICH ST 4A,1,10013,CND,0.0,4250000.0,0.0,0.0,0.0,42500.0,38250.0,29453.0,40.2,150675.0,157378.0,2113.0,2762.0,9.377652531151323
415 GREENWICH ST 4F,1,10013,CND,0.0,5300000.0,2650000.0,50.0,51675.0,53000.0,47700.0,29453.0,40.2,150675.0,157378.0,2113.0,2762.0,9.377652531151323
415 GREENWICH ST 5A,1,10013,CND,0.0,5375000.0,3493750.0,65.0,68128.125,53750.0,48374.99999999999,29453.0,40.2,150675.0,157378.0,2113.0,2762.0,9.377652531151323
415 GREENWICH ST 5D,1,10013,CND,0.0,3145000.0,0.0,0.0,0.0,31450.0,28305.0,29453.0,40.2,150675.0,157378.0,2113.0,2762.0,9.377652531151323
415 GREENWICH ST 7C,1,10013,CND,0.0,5150000.0,0.0,0.0,0.0,51500.0,46350.0,29453.0,40.2,150675.0,157378.0,2113.0,2762.0,9.377652531151323
161 HUDSON ST 2B,1,10013,CND,0.0,4800000.0,0.0,0.0,0.0,48000.0,43200.0,29453.0,40.2,150675.0,157378.0,2113.0,2762.0,9.377652531151323
151 HUDSON ST 6,1,10013,CND,0.0,1323000.0,1218208.0,92.07921390778534,23755.056,13230.0,11907.0,29453.0,40.2,150675.0,157378.0,2113.0,2762.0,9.377652531151323
250 WEST ST 3L,1,10013,CND,0.0,2640000.0,0.0,0.0,0.0,26400.0,23760.0,29453.0,40.2,150675.0,157378.0,2113.0,2762.0,9.377652531151323
250 WEST ST 4K,1,10013,CND,0.0,1720000.0,0.0,0.0,0.0,17200.0,15479.999999999998,29453.0,40.2,150675.0,157378.0,2113.0,2762.0,9.377652531151323
250 WEST ST 6C,1,10013,CND,0.0,6750000.0,0.0,0.0,0.0,67500.0,60749.99999999999,29453.0,40.2,150675.0,157378.0,2113.0,2762.0,9.377652531151323
250 WEST ST 10E,1,10013,CND,0.0,3925000.0,0.0,0.0,0.0,39250.0,35325.0,29453.0,40.2,150675.0,157378.0,2113.0,2762.0,9.377652531151323
